Подарочный USB накопитель в виде фотоаппарата,599 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnyy_usb_nakopitel_v_vide_fotoapparata_888900869
Подарочный USB накопитель в виде Дарта Вейдера,650 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnyy_usb_nakopitel_v_vide_darta_veydera_888903703
Подарочный USB накопитель Duffy Duck,590 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnyy_usb_nakopitel_duffy_duck_888911733
Подарочный USB накопитель Hello Kitty,990 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnyy_usb_nakopitel_hello_kitty_888915241
"Флешки в Перми. USB, MicroSD. Опт. Розница",99 руб.,Компания,https://avito.ru/perm/tovary_dlya_kompyutera/fleshki_v_permi._usb_microsd._opt._roznitsa_215555318
Картридер внутренний с Bluetooth,200 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/kartrider_vnutrenniy_s_bluetooth_1207655365
USB Flash SanDisk Cruzer Blade 32 Гб новая,600 руб.,Компания,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flash_sandisk_cruzer_blade_32_gb_novaya_1010288029
"Новый Картридер Luazon для microSD ""Машина""",150 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_kartrider_luazon_dlya_microsd_mashina_1015582852
Карта Памяти Micro SD 64MB без упаковки,80 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_micro_sd_64mb_bez_upakovki_983772239
Карта памяти Leef PRO microSD 128Gb UHS1 + SD адап,1 990 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_leef_pro_microsd_128gb_uhs1_sd_adap_1050947771
Новая Карта micro-SD SmartBuy 32GB Class10+адаптер,1 500 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novaya_karta_micro-sd_smartbuy_32gb_class10adapter_1172663876
Новая Карта micro-SD SmartBuy 16GB Class10+адаптер,900 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novaya_karta_micro-sd_smartbuy_16gb_class10adapter_1134752592
Новая Карта micro-SD SmartBuy 8GB Class 4+адаптер,600 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novaya_karta_micro-sd_smartbuy_8gb_class_4adapter_1125544442
Флешка для PSP 8Gb,500 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_dlya_psp_8gb_1085523899
Swarovski 4 гб USB+ шариковая ручка,4 500 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/swarovski_4_gb_usb_sharikovaya_ruchka_1054893895
Новый Флэш-диск Kingmax 4GB PD-07 черный,500 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_flesh-disk_kingmax_4gb_pd-07_chernyy_1189700816
Новый Флэш-диск SmartBuy 32GB V-Cut серебро,900 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_flesh-disk_smartbuy_32gb_v-cut_serebro_1139449996
Новый Флэш-диск SmartBuy 32GB Glossy черный,900 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_flesh-disk_smartbuy_32gb_glossy_chernyy_948384403
USB Флеш-накопители в ассортименте,380 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopiteli_v_assortimente_1030979299
16GB USB charm красный qumo,500 руб.,Компания,https://avito.ru/perm/tovary_dlya_kompyutera/16gb_usb_charm_krasnyy_qumo_702023477
Флешка ключ мерсдес,899 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_klyuch_mersdes_656434190
Флешка 32 gb,400 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_32_gb_1013706364
Карта памяти,1 500 руб.,р-н Орджоникидзевский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_908394356
"USB Flash юсб флэшка металлическая 8Гб (серебро, з",350 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flash_yusb_fleshka_metallicheskaya_8gb_serebro_z_1224832857
"USB-ключ eToken PRO(java), защищённая память 72К",1 000 руб.,,https://avito.ru/perm/tovary_dlya_kompyutera/usb-klyuch_etoken_projava_zaschischennaya_pamyat_72k_771497172
Карты памяти MicroSD новые в упаковке,250 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karty_pamyati_microsd_novye_v_upakovke_1185152284
Ударопрочные флэшки HP V250W 8GB новые,290 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/udaroprochnye_fleshki_hp_v250w_8gb_novye_1017597774
Адаптер для SD Micro SD,40 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_dlya_sd_micro_sd_770023743
USB флеш 16Gb Mercedes-Benz,750 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh_16gb_mercedes-benz_920890098
Карта памяти Sony,650 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_sony_938970825
MicroSD 4Gb,120 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/microsd_4gb_980650752
Карты оперативной памяти,2 000 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/karty_operativnoy_pamyati_562589458
Новые флешки,330 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_fleshki_894817630
Новые флешки на 32 гб,600 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_fleshki_na_32_gb_894823833
Новые флешки,430 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_fleshki_894821497
"Флешка ""акула"" на 8 гб",800 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_akula_na_8_gb_804956711
"USB-флешка ""slap""",100 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/usb-fleshka_slap_812751736
USB флэш драйв сони 32Гб,700 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh_drayv_soni_32gb_1161156485
Multi Cart Reader Defender Ultra,200 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/multi_cart_reader_defender_ultra_863672985
Адапторы для карт памяти,50 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/adaptory_dlya_kart_pamyati_863679853
Загрузочная флешка с Windows 10,900 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/zagruzochnaya_fleshka_s_windows_10_1118045908
Новая карта памяти Карта памяти 16GB sdhc Apacer C,450 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/novaya_karta_pamyati_karta_pamyati_16gb_sdhc_apacer_c_519110184
Оперативная память 2GB DDR 3 на ноутбук и нетбук,500 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/operativnaya_pamyat_2gb_ddr_3_na_noutbuk_i_netbuk_1068828205
Флэшка Дед Мороз,500 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_ded_moroz_138464988
Продам compact flash 4gb,500 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/prodam_compact_flash_4gb_1123413169
Модем USB Мегафон 3G,700 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/modem_usb_megafon_3g_1000317467
Micro Флеш-накопители в ассортименте,380 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/micro_flesh-nakopiteli_v_assortimente_1112633542
Флэшки 8 Гб,350 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshki_8_gb_1222753855
Флэшки 16 Гб,390 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshki_16_gb_1076154773
Карта памяти Silicon Power Micro SD 8 GB Class4,400 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_silicon_power_micro_sd_8_gb_class4_911835882
Адаптер CD для micro CD,90 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_cd_dlya_micro_cd_922939202
Карта памяти 2 Gb,200 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_2_gb_922953179
"Новые флешки 1, 2, 4, 16, 32, 64 гб",150 руб.,р-н Орджоникидзевский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_fleshki_1_2_4_16_32_64_gb_922638034
Флэшкарта микро SD,1 200 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshkarta_mikro_sd_1203617835
"Карты памяти MicroSD\\SD 1-16GB, адаптеры",50 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karty_pamyati_microsdsd_1-16gb_adaptery_922449971
